category,item,calories,total_fat,calcium,sugars,protein
Breakfast,Egg McMuffin,300,20,25,3,17
Breakfast,Egg White Delight,250,12,25,3,18
Breakfast,Sausage McMuffin,370,35,25,2,14
Breakfast,Sausage McMuffin with Egg,450,43,30,2,21
Breakfast,Sausage McMuffin with Egg Whites,400,35,25,2,21
Breakfast,Steak & Egg McMuffin,430,36,30,3,26
Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",460,40,15,3,19
Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",520,47,20,4,19
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",410,32,15,3,20
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",470,38,15,4,20
Breakfast,Sausage Biscuit (Regular Biscuit),430,42,6,2,11
Breakfast,Sausage Biscuit (Large Biscuit),480,48,8,3,11
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),510,50,10,2,18
Breakfast,Sausage Biscuit with Egg (Large Biscuit),570,57,10,3,18
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),460,42,8,3,18
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),520,49,8,3,18
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),410,31,6,3,17
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),470,37,8,4,17
Breakfast,Steak & Egg Biscuit (Regular Biscuit),540,49,20,3,25
Breakfast,"Bacon, Egg & Cheese McGriddles",460,32,20,15,19
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",400,24,15,16,20
Breakfast,Sausage McGriddles,420,34,8,15,11
Breakfast,"Sausage, Egg & Cheese McGriddles",550,48,20,15,20
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",500,40,20,15,21
Breakfast,"Bacon, Egg & Cheese Bagel",620,48,20,7,30
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",570,39,20,8,30
Breakfast,"Steak, Egg & Cheese Bagel",670,53,25,7,33
Breakfast,Big Breakfast (Regular Biscuit),740,73,15,3,28
Breakfast,Big Breakfast (Large Biscuit),800,80,15,3,28
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),640,57,10,3,26
Breakfast,Big Breakfast with Egg Whites (Large Biscuit),690,63,10,4,26
Breakfast,Big Breakfast with Hotcakes (Regular Biscuit),1090,87,25,17,36
Breakfast,Big Breakfast with Hotcakes (Large Biscuit),1150,93,30,17,36
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),990,70,25,17,35
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),1050,77,25,18,35
Breakfast,Hotcakes,350,13,15,14,8
Breakfast,Hotcakes and Sausage,520,37,15,14,15
Breakfast,Sausage Burrito,300,25,15,2,12
Breakfast,Hash Brown,150,14,0,0,1
Breakfast,Cinnamon Melts,460,30,6,32,6
Breakfast,Fruit & Maple Oatmeal,290,6,10,32,5
Breakfast,Fruit & Maple Oatmeal without Brown Sugar,260,6,6,18,5
Beef & Pork,Big Mac,530,42,25,9,24
Beef & Pork,Quarter Pounder with Cheese,520,41,30,10,30
Beef & Pork,Quarter Pounder with Bacon & Cheese,600,45,25,12,37
Beef & Pork,Quarter Pounder with Bacon Habanero Ranch,610,48,25,10,37
Beef & Pork,Quarter Pounder Deluxe,540,42,25,9,29
Beef & Pork,Double Quarter Pounder with Cheese,750,66,30,10,48
